sample_id,reference,hypothesis,wer,cer,n_words
train-00000-of-00048_000000,и ассалаумағалейкүм достар сіздермен дэйлин и карчи достар бүгін біз бедварста дуэли карчи иә дуэли,ассалaму алейкум достар сіздармен деiлин и кaрчi дустар бөгін біz бет вaрстa дүелдi кaрчi a дүелдi,0.9333333333333333,0.31313131313131315,15
train-00000-of-00048_000001,сырғанақ жасайтын боламыз иә сіз бола,сырғаннақ жасайтын боламыз я сіз бон,0.5,0.13513513513513514,6
train-00000-of-00048_000002,шеллиннің видеосынан көрген боларсыздар мен бірақ бұны,шелдинің видеосынан көрген болап жатарын мен бірақ боны,0.5714285714285714,0.18518518518518517,7
train-00000-of-00048_000003,бұрында челсидан көрмей тұрып істегенмін вообще шынымды айтам,барында шелзұйдан көрмей тұрып стүген мнәше шынынд айтам,0.625,0.2786885245901639,8
train-00000-of-00048_000004,давайте достар видео бастамастан барын лайкымызды басамыз каналға тіркеліп,далитте досар видео басталмастанбармылайкымызды басамыз каналға тір келіп,0.7777777777777778,0.13513513513513514,9
train-00000-of-00048_000005,комментария қалдырып кетейік достар,комментари қалдырып кетейік достар,0.25,0.02857142857142857,4
train-00000-of-00048_000006,давайте ендеше қазір,tawatinci kazr,1.0,0.95,3
train-00000-of-00048_000007,видеоға тиіссіз 5 секундтың ішінде лайктарыңызды басталамын бұл видео өте күшті,видеоға тиссіз бес секундтың ішінде лайктарыңыз баслаыңз бұл видео өте күштоп,0.45454545454545453,0.16455696202531644,11
train-00000-of-00048_000008,осы видеоға давайте 25 лайк и келесі видео шығатын болады,осы видеоға дауайттее жиырма бес лайк и келесі видео шығатын болады,0.3,0.22807017543859648,10
train-00000-of-00048_000009,и так достар ендеше біз видеомызға кеттік,и tak тo sem enшie bes videoms la ket,1.1428571428571428,0.8292682926829268,7
train-00000-of-00048_000010,ит өксіп кәпчемдікке біз бетбапсымызға кірдік,itak psrkarčim niki bez bedvapsmza kerdek,1.0,0.9333333333333333,6
train-00000-of-00048_000011,бұл дуэль достар біз қазір сырғанақ жасайтын боламыз,бұл дөел достар біз қазір сырғанағ жасайтын боламыз,0.25,0.07692307692307693,8
train-00000-of-00048_000012,иә достар сұрғанақты өте оңай,иәдас сұрған нақты өте оңай,0.6,0.2413793103448276,5
train-00000-of-00048_000013,жасал,streسl,1.0,1.2,1
train-00000-of-00048_000014,ей мен мына пацанға пока чтоға тимеймін дей тұрмын достар,и мен мына патсанға пакаштуға тимдей тырым достыр,0.8,0.3157894736842105,10
train-00000-of-00048_000015,білемін бедбап істе тиім болмайды,блем бедвоsта тim болмай,1.0,0.45454545454545453,5
train-00000-of-00048_000016,әне сұрап жатырмын мен оған тиімдердің барып түсе солай,әне сырап жаттым ме оған темдеің партже сұнылай,0.7777777777777778,0.34545454545454546,9
train-00000-of-00048_000017,иии достар біз қазір сырғанақ жасаймыз кешегі шелсидің видеосындағыдай,иастар біз казір сырғанағы жасаймыз кешегі шелзийнің видеосындағыдай,0.5555555555555556,0.15714285714285714,9
train-00000-of-00048_000018,капче осындай жасайырын үлкен үлкен қылып,картше осындай жасай ренд үлкен үлкен құлып,0.6666666666666666,0.17073170731707318,6
train-00000-of-00048_000019,осыған дейін жасаймыз достар короче,осы ған дейін жасаймыз остар карче,0.8,0.11428571428571428,5
train-00000-of-00048_000020,всё,شوب,1.0,1.0,1
train-00000-of-00048_000021,қазір біз тағы да зат жинап алуымыз керек,қазір біз тағы да зат жинап алымыз керек,0.125,0.024390243902439025,8
train-00000-of-00048_000022,ресурс осындай блог алам жетеді деген ойдам и потом да фига деген,ресурс осындай богалам жететтен ойдам и потом да фильга деген,0.4166666666666667,0.15384615384615385,12
train-00000-of-00048_000023,затталып тастаймыз короче,zatopstaim skarci,1.0,0.96,3
train-00000-of-00048_000024,бірақ бұл аз дафига емес ей карче біз шашса едіңіз,лесса бірақ бұл аз да фига емес икапче біз шаршылай діва,0.7,0.38,10
train-00000-of-00048_000025,жасай берейік,жасай верик,0.5,0.3076923076923077,2
train-00000-of-00048_000026,игорь чепсеу нағыз жетіп қалдық уже,икарчевсионалын жетіп қалдығу жі,0.8333333333333334,0.4,6
train-00000-of-00048_000027,науытик,naowutik,1.0,1.1428571428571428,1
train-00000-of-00048_000028,кішкентай сияқты болып тұр,кішкентай сияқ тоыптың,0.75,0.2692307692307692,4
train-00000-of-00048_000029,вио майын ашық деген отырып болды достар видеоға лайкымызды басаңыз тегін лайкты басаңыз,емайынашіктенатырыпқот бұстар видеоға лайкымыз басамыз тегін лайкты басамыз,0.7692307692307693,0.2727272727272727,13
train-00000-of-00048_000030,қазірінше біз бұл айына көтеріле берейік,cadurîнчi bes boină cutirлe biric,1.0,0.85,6
train-00000-of-00048_000031,осы жетеді короче,ош шитет карыче,1.0,0.47058823529411764,3
train-00000-of-00048_000032,өте үлкен боп кетті,wtي اlكenbuketna,1.0,0.9473684210526315,4
train-00000-of-00048_000033,клищкіл,تليشكم,1.0,1.0,1
train-00000-of-00048_000034,неке енді осыған,некей енді осыған,0.3333333333333333,0.0625,3
train-00000-of-00048_000035,біз лестница қойып шығамыз,біз лесініста қойып шығамыз,0.25,0.15384615384615385,4
train-00000-of-00048_000036,и біздің карточка сырғанағымыз шеллзидікінен де үлкен болып кетті қараңыздар,ил біздің кауіпчес сырған ағымыз шел жидікіненді үлкен бук кетті қараңыздар,0.7,0.19736842105263158,10
train-00000-of-00048_000037,шеллзидің видеосында бұлар бірақ өңкі менікінен кішкентай,шеузидің видеосында буар бырақ үңкі мекінен кішкентай,0.7142857142857143,0.14035087719298245,7
train-00000-of-00048_000038,и кообще все без уса илгеть допусти верить,ikarce vso bezusa lkit tepstivirik,1.0,0.9047619047619048,8
train-00000-of-00048_000039,бізде тіпті мынау лестницамыз аз болып қалды,бізде тіпті нау лесінтсамыз аз боқ қалды,0.42857142857142855,0.18181818181818182,7
train-00000-of-00048_000040,біз мынаны өте көп деватыр едік өте аз болып қалып қайтты,біз маны өте көп теу атыреді өте азбұқылп қайтаы,0.6363636363636364,0.2807017543859649,11
train-00000-of-00048_000041,мынау полностью жетпейді 48 лестницаның өзі,на полн үстеу жетпейд қырық сегіз лесницаның өзі,1.1666666666666667,0.4418604651162791,6
train-00000-of-00048_000042,икатчи біз тағы да үлесімді саламыз нәрседен толтырып,икарче біз тағы да лесімді саламыз нәшітен толтырып,0.375,0.1320754716981132,8
train-00000-of-00048_000043,енді точно жетеді деген ойдамын,inda toчnеe жitetenоidam,1.0,0.8709677419354839,5
train-00000-of-00048_000044,почти 3 стак,плачки үш стак,0.6666666666666666,0.4166666666666667,3
train-00000-of-00048_000045,бұл өте көп жаңа,бұл өте көп жаңалық,0.25,0.1875,4
train-00000-of-00048_000046,қырық сегіз жеткен маған бір шетіне енді нәшікке,қырық сегіз жеткен наған біршетіне еңді нәшітке,0.625,0.08333333333333333,8
train-00000-of-00048_000047,үш сағынын істеймін менің сиялаймын,ssanеstim steлm,1.0,0.9142857142857143,5
train-00000-of-00048_000048,өте күшті зат кеттік ау мен аңғарыңыздар өте күшті сіздер де істесеңіздер болады көп ше,өте күшті зат кеттігау на қараңыздар бстар өте күшті сіздерде істесеңіздер бұлат карче,0.6,0.25287356321839083,15
train-00000-of-00048_000049,өте өте күшті зат карточек,uте uте кste зat кarчi,1.0,0.5384615384615384,5
train-00000-of-00048_000050,қазір біз енді закупаться еттіп аламыз өзімізге мынандай 4 зауытты алып алайық,казі біз енді зкпацайтіп аламыз өзімізге нандай төрт золтық алып алайық,0.5,0.28205128205128205,12
train-00000-of-00048_000051,рио болсын,reo bosыn,1.0,0.8,2
train-00000-of-00048_000052,енді болып аламыз,enді болгаламs,1.0,0.4117647058823529,3
train-00000-of-00048_000053,киркі аламыз жоқ киркі айымыз мынадайға жетеді деп,киркі аламыз жоқ киркаймыз нандай ғажет ек дек,0.625,0.24,8
train-00000-of-00048_000054,ештеңеге сыймайды да ғой,iso ten se maitago,1.0,0.9583333333333334,4
train-00000-of-00048_000055,и біз нормально дегенде осындай бір мидж аламыз,и біз нормальны денде осындай бір митч аламыз,0.375,0.10638297872340426,8
train-00000-of-00048_000056,всё,行,1.0,1.0,1
train-00000-of-00048_000057,и енді тағы да,и енді тағы да,0.0,0.0,4
train-00000-of-00048_000058,не алсақ болады,يصقبت,1.0,1.0,3
train-00000-of-00048_000059,достар видеоға лайкымызды бастаймыз,duse video alaik mes basems,1.25,0.9142857142857143,4
train-00000-of-00048_000060,мен жасалдым мінекей сырғанақты нан қараңыздар қандай үлкен,мен жасанын неке сұрған ақты наңғараңыздар қандай үлкен,0.625,0.1864406779661017,8
train-00000-of-00048_000061,ей біздің противник уже бізге келді міне оған тим деп қойған бірақ,ий біздің противник өже бізге келдім е оған тим деп қойған бірақ,0.3333333333333333,0.07575757575757576,12
train-00000-of-00048_000062,сонда да ол бізге келатыр чотан неге екенін,сонда да ол бізге килятр чотан неге кенін,0.25,0.09302325581395349,8
train-00000-of-00048_000063,қазір мен оны изиге айыптасаймын деген ойдамын,қазір мен оны ижеге айыптаймын деген ойдамын,0.2857142857142857,0.08695652173913043,7
train-00000-of-00048_000064,и ол бізге сүттен келатыр короче,і обзге стенгелятор корче,1.0,0.34375,6
train-00000-of-00048_000065,газ сұрай мен тил деп,ka sray minti nde,1.0,0.8571428571428571,5
train-00000-of-00048_000066,осындай бір бізде постройка шықты,осындай әйбір бізде пастроика шықты,0.4,0.12121212121212122,5
train-00000-of-00048_000067,не дейді,не дейді,0.0,0.0,2
train-00000-of-00048_000068,шерский деп платить нетті,шерsтiдел тaтi нет тiн,1.0,0.56,4
train-00000-of-00048_000069,керек емес и как же все достар мына қараңыздар,терег емес икапче се достар мнан қарайңыздар,0.7777777777777778,0.21739130434782608,9
train-00000-of-00048_000070,өте күшті зат шықты бізде,өте күшті жат шықты бізде,0.2,0.04,5
train-00000-of-00048_000071,казинал бізге атака жасап кетіп жүрмесе,казені нау бізге атака жасап кету жінмесе,0.6666666666666666,0.23076923076923078,6
train-00000-of-00048_000072,казинше біз тағы да бір рет сырғанап жіберейік,кәзіінше біз тағы да бір рет сырғанап жерек,0.25,0.15217391304347827,8
train-00000-of-00048_000073,біз осындай үлкен площадка жасаймыз картиже,біз осындай үлкен площатка жасаймыз карше,0.3333333333333333,0.09302325581395349,6
train-00000-of-00048_000074,қазір төрт блоктан қоямыз өстіп карте осындай осындай,каз төрт блоктан қоямыз өстіп картче осындай осындай,0.25,0.07547169811320754,8
train-00000-of-00048_000075,имники,imñiki,1.0,1.0,1
train-00000-of-00048_000076,өте күштен шықты деген ойдамын менің затым,өте күшті шықты деген ойдамн мең затым,0.42857142857142855,0.11904761904761904,7
train-00000-of-00048_000077,достар сол үшін лайық болсам мінекей мен үлкен зат жасадым кәдімгідей,достар солшын лайтып басам неке менін үлкен зат жасадым кәдімгідей,0.5454545454545454,0.17391304347826086,11
train-00000-of-00048_000078,мінекей көріп тұрған боларсыздар міне осыны скринин етіп,неке көріп тұрған боласыздар мен осын скрин етіп,0.625,0.16071428571428573,8
train-00000-of-00048_000079,привьюға қоятын болам кароче мінекей өте күшті шықты,превиюға қоятын боламын картче мінекей өте күшті шықты,0.375,0.09615384615384616,8
train-00000-of-00048_000080,қазір біз бетеміз оның астына трамплинді қойып жүреміз,қазір біз бетеміз оның астына трамплинді қою жереміз,0.25,0.07407407407407407,8
train-00000-of-00048_000081,ии оғуш кетсуі керек көбінесе,i ooştketsu kirek karci,1.0,0.896551724137931,5
train-00000-of-00048_000082,трамплинг өкпөек короче,трамп ем выпыкк вобще,1.3333333333333333,0.5217391304347826,3
train-00000-of-00048_000083,и біз нәштен,и без наштен,0.6666666666666666,0.16666666666666666,3
train-00000-of-00048_000084,нан аламыз,nan alams,1.0,0.9,2
train-00000-of-00048_000085,давай анау бізге келатыр что то,далай тұз анау бізге келатырып чота,0.8333333333333334,0.3225806451612903,6
train-00000-of-00048_000086,е о достар жасап кеттім аңғараңыздар все достар біз оған атака жасаймыз өте әдемі шықты көрдіңіздер ме,е ұдустар жасап кетті наң қараңыздар псе дыстар біз оған атакка жасаймыз өте әдем шықты көрдіңіздер ма,0.5882352941176471,0.11764705882352941,17
train-00000-of-00048_000087,түсіп келатты да ұшып кетті анау деген,түскпелятты да ұшыкпетті анал деген,0.7142857142857143,0.21052631578947367,7
train-00000-of-00048_000088,өте күшті кетті кәдімгідей скоростпен шығып кетті,өте күшті кетті кәдіміде скоспен шықп кетті,0.42857142857142855,0.14285714285714285,7
