sample_id,reference,hypothesis,wer,cer,n_words
train-00000-of-00048_000000,и ассалаумағалейкүм достар сіздермен дэйлин и карчи достар бүгін біз бедварста дуэли карчи иә дуэли,ү ассауым алекім дұстап ісіздармен дейлин икарши дұстар бөгінбіз бедварста дуелде карче ә дуелде,0.9333333333333333,0.26262626262626265,15
train-00000-of-00048_000001,сырғанақ жасайтын боламыз иә сіз бола,сырғаннақ жосайтын болмыз ә сіз бон,0.8333333333333334,0.16216216216216217,6
train-00000-of-00048_000002,шеллиннің видеосынан көрген боларсыздар мен бірақ бұны,шалзейнің видеосынан көбген бұлап жыттарын мен бірақ бона,0.7142857142857143,0.2777777777777778,7
train-00000-of-00048_000003,бұрында челсидан көрмей тұрып істегенмін вообще шынымды айтам,банда шал зийдан көрмей тров сеген мәше шындайтан,1.0,0.4262295081967213,8
train-00000-of-00048_000004,давайте достар видео бастамастан барын лайкымызды басамыз каналға тіркеліп,далете досар видео бастам мастамыр мылайқымызды бастамыз каналға тір келіп,0.8888888888888888,0.21621621621621623,9
train-00000-of-00048_000005,комментария қалдырып кетейік достар,комментария қалдыр кетек достар,0.5,0.11428571428571428,4
train-00000-of-00048_000006,давайте ендеше қазір,daوatinش kazr,1.0,0.95,3
train-00000-of-00048_000007,видеоға тиіссіз 5 секундтың ішінде лайктарыңызды басталамын бұл видео өте күшті,видеоға тисиз бес секундтың ішінде лектарыңыз басуан бұл видео өте кіштоп,0.45454545454545453,0.22784810126582278,11
train-00000-of-00048_000008,осы видеоға давайте 25 лайк и келесі видео шығатын болады,осы видеоға дауатте жиырма бес лайт и келесі видео шығатын болады,0.4,0.22807017543859648,10
train-00000-of-00048_000009,и так достар ендеше біз видеомызға кеттік,i tak to sem jenšije bez vídeom zlakit,1.1428571428571428,0.8780487804878049,7
train-00000-of-00048_000010,ит өксіп кәпчемдікке біз бетбапсымызға кірдік,î tek bisir karçimnekî bez bedvabsimza kerdek,1.1666666666666667,0.9555555555555556,6
train-00000-of-00048_000011,бұл дуэль достар біз қазір сырғанақ жасайтын боламыз,бұл дуйел достар біз қазір сырғанағ жасайтын боламыз,0.25,0.07692307692307693,8
train-00000-of-00048_000012,иә достар сұрғанақты өте оңай,ядасып сұрған ақты өте оңай,0.6,0.27586206896551724,5
train-00000-of-00048_000013,жасал,ressol,1.0,1.2,1
train-00000-of-00048_000014,ей мен мына пацанға пока чтоға тимеймін дей тұрмын достар,е мен мына патсанға пакаштоға тимдей тырын бостыр,0.8,0.2807017543859649,10
train-00000-of-00048_000015,білемін бедбап істе тиім болмайды,білен бедвапсті тим болмай,1.0,0.2727272727272727,5
train-00000-of-00048_000016,әне сұрап жатырмын мен оған тиімдердің барып түсе солай,әне сырап жатты мелған темдедін плапше сонылайт,0.8888888888888888,0.41818181818181815,9
train-00000-of-00048_000017,иии достар біз қазір сырғанақ жасаймыз кешегі шелсидің видеосындағыдай,и застар біз казіп сырғанағ жасаймыз кешегі шелзенің видеосындағыдай,0.5555555555555556,0.14285714285714285,9
train-00000-of-00048_000018,капче осындай жасайырын үлкен үлкен қылып,капче осындай жасай ырын үлкен үлкен құлып,0.5,0.04878048780487805,6
train-00000-of-00048_000019,осыған дейін жасаймыз достар короче,осыған дейін жасаймызысыр карче,0.6,0.2,5
train-00000-of-00048_000020,всё,شوب,1.0,1.0,1
train-00000-of-00048_000021,қазір біз тағы да зат жинап алуымыз керек,казірбіз тағы да зат жийнабалымыз керек,0.5,0.14634146341463414,8
train-00000-of-00048_000022,ресурс осындай блог алам жетеді деген ойдам и потом да фига деген,ресурс осындай бог алам жететтегін ойдам и патом тафилга деген,0.5,0.15384615384615385,12
train-00000-of-00048_000023,затталып тастаймыз короче,zatapstaimskarči,1.0,1.0,3
train-00000-of-00048_000024,бірақ бұл аз дафига емес ей карче біз шашса едіңіз,леснца бірақ бұ аз дафига емес екапче біз жашлай діві,0.6,0.34,10
